generation,creatures_remaining,best_fitness,avg_fitness,total_apples_deposited
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,1,0.00,0.00,0
5,6,0.00,0.00,0
6,17,90.00,8.24,14
7,14,120.00,20.71,29
8,19,180.00,46.32,88
9,11,190.00,64.55,71
10,20,190.00,46.50,93
11,13,310.00,76.92,100
12,27,350.00,60.74,164
13,19,280.00,80.53,153
14,8,300.00,122.50,98
15,31,360.00,65.81,204
16,28,310.00,112.14,314
17,29,330.00,137.59,399
18,30,300.00,140.67,422
19,36,320.00,130.00,468
20,34,300.00,149.12,507
21,32,390.00,153.44,491
22,31,300.00,153.87,477
23,44,290.00,160.45,706
24,47,320.00,151.28,711
25,45,320.00,138.67,624
26,36,400.00,171.67,618
27,34,350.00,157.06,534
28,39,270.00,157.44,614
29,40,280.00,166.00,664
30,45,350.00,180.67,813
31,47,380.00,187.87,883
32,29,310.00,181.72,527
33,47,410.00,214.68,1009
34,44,380.00,197.27,868
35,31,400.00,205.16,636
36,37,400.00,224.32,830
37,38,370.00,208.16,791
38,41,460.00,223.90,918
39,34,360.00,232.35,790
40,34,360.00,223.82,761
41,33,370.00,254.24,839
42,39,390.00,220.26,859
43,39,390.00,217.95,850
44,31,380.00,219.68,681
45,41,450.00,260.98,1070
46,40,400.00,250.50,1002
47,43,390.00,251.40,1081
48,42,390.00,252.86,1062
49,45,430.00,261.78,1178
50,36,420.00,283.33,1020
